EVENT	ROUND	SCORE	TIME	NAME	SUBMITTER	ENTITY	REFERENT	SELECTED	SHAPE	EDGE_COUNT	SIZE	RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	POSITION_X	POSITION_Y
3	1	1	59.619	completedturn.request	A	2	false	false	lozenge	6	0.01	0	164	255	255	0.5594771	1.0	1.0	0.6	0.9
3	1	1	59.619	completedturn.request	A	3	false	false	temple	16	0.04	255	0	22	255	0.9856209	1.0	1.0	0.3	0.85
3	1	1	59.619	completedturn.request	A	4	false	false	crown	10	0.0225	204	255	0	255	0.2	1.0	1.0	0.875	0.875
3	1	1	59.619	completedturn.request	A	5	false	false	head	10	0.01	217	0	255	255	0.8084967	1.0	1.0	0.75	0.4
3	1	1	59.619	completedturn.request	A	6	false	false	bridge	12	0.04	255	20	0	255	0.013071895	1.0	1.0	0.25	0.55
3	1	1	59.619	completedturn.request	A	7	false	false	arrow	8	0.0225	0	255	138	255	0.42352942	1.0	1.0	0.575	0.775
3	1	1	59.619	completedturn.request	A	8	true	false	giraffe	9	0.01	76	0	255	255	0.7163399	1.0	1.0	0.8	0.3
3	1	1	59.619	completedturn.request	A	9	false	false	spikes	13	0.04	181	255	0	255	0.2150327	1.0	1.0	0.55	0.3
3	1	1	59.619	completedturn.request	A	10	false	false	rock	7	0.01	0	255	181	255	0.45163396	1.0	1.0	0.95	0.5
3	1	1	59.619	completedturn.request	A	11	false	false	chevron	6	0.04	0	64	255	255	0.6248366	1.0	1.0	0.5	0.6
3	1	1	59.619	completedturn.request	A	12	false	false	barn	6	0.0225	97	0	255	255	0.73006535	1.0	1.0	0.125	0.725
3	1	1	59.619	completedturn.request	A	13	false	false	chicken	12	0.01	0	255	182	255	0.45228758	1.0	1.0	0.95	0.6
3	1	1	59.619	completedturn.request	A	14	false	false	goose	12	0.04	255	0	25	255	0.9836601	1.0	1.0	0.15	0.25
3	1	1	59.619	completedturn.request	A	15	false	false	mountain	7	0.0225	0	174	255	255	0.55294114	1.0	1.0	0.725	0.875
3	1	1	59.619	completedturn.request	A	16	false	false	wedge	6	0.01	255	194	0	255	0.1267974	1.0	1.0	0.05	0.05
3	1	1	59.619	completedturn.request	A	17	false	false	monitor	8	0.0225	0	3	255	255	0.66470593	1.0	1.0	0.875	0.175
3	1	1	59.619	completedturn.request	A	18	false	false	boat	9	0.04	255	193	0	255	0.1261438	1.0	1.0	0.1	0.9
3	1	1	59.619	completedturn.request	A	19	false	false	giraffe	9	0.0225	255	23	0	255	0.015032679	1.0	1.0	0.325	0.225
3	1	1	59.619	completedturn.request	A	20	false	false	lozenge	6	0.04	255	0	141	255	0.9078431	1.0	1.0	0.5	0.1
4	2	1	62.428	nextturn.request	B	1	false	false	boat	9	0.0225	0	107	255	255	0.5967321	1.0	1.0	0.725	0.575
4	2	1	62.428	nextturn.request	B	2	false	false	lozenge	6	0.01	0	164	255	255	0.5594771	1.0	1.0	0.6	0.9
4	2	1	62.428	nextturn.request	B	3	false	false	temple	16	0.04	255	0	22	255	0.9856209	1.0	1.0	0.3	0.85
4	2	1	62.428	nextturn.request	B	4	false	false	crown	10	0.0225	204	255	0	255	0.2	1.0	1.0	0.875	0.875
4	2	1	62.428	nextturn.request	B	5	false	false	head	10	0.01	217	0	255	255	0.8084967	1.0	1.0	0.75	0.4
4	2	1	62.428	nextturn.request	B	6	false	false	bridge	12	0.04	255	20	0	255	0.013071895	1.0	1.0	0.25	0.55
4	2	1	62.428	nextturn.request	B	7	false	false	arrow	8	0.0225	0	255	138	255	0.42352942	1.0	1.0	0.575	0.775
4	2	1	62.428	nextturn.request	B	8	false	false	giraffe	9	0.01	76	0	255	255	0.7163399	1.0	1.0	0.8	0.3
4	2	1	62.428	nextturn.request	B	9	true	false	spikes	13	0.04	181	255	0	255	0.2150327	1.0	1.0	0.55	0.3
4	2	1	62.428	nextturn.request	B	10	false	false	rock	7	0.01	0	255	181	255	0.45163396	1.0	1.0	0.95	0.5
4	2	1	62.428	nextturn.request	B	11	false	false	chevron	6	0.04	0	64	255	255	0.6248366	1.0	1.0	0.5	0.6
4	2	1	62.428	nextturn.request	B	12	false	false	barn	6	0.0225	97	0	255	255	0.73006535	1.0	1.0	0.125	0.725
4	2	1	62.428	nextturn.request	B	13	false	false	chicken	12	0.01	0	255	182	255	0.45228758	1.0	1.0	0.95	0.6
4	2	1	62.428	nextturn.request	B	14	false	false	goose	12	0.04	255	0	25	255	0.9836601	1.0	1.0	0.15	0.25
4	2	1	62.428	nextturn.request	B	15	false	false	mountain	7	0.0225	0	174	255	255	0.55294114	1.0	1.0	0.725	0.875
4	2	1	62.428	nextturn.request	B	16	false	false	wedge	6	0.01	255	194	0	255	0.1267974	1.0	1.0	0.05	0.05
4	2	1	62.428	nextturn.request	B	17	false	false	monitor	8	0.0225	0	3	255	255	0.66470593	1.0	1.0	0.875	0.175
4	2	1	62.428	nextturn.request	B	18	false	false	boat	9	0.04	255	193	0	255	0.1261438	1.0	1.0	0.1	0.9
4	2	1	62.428	nextturn.request	B	19	false	false	giraffe	9	0.0225	255	23	0	255	0.015032679	1.0	1.0	0.325	0.225
